Passenger 1 ID,Passenger 2 ID,Number of Flights Together
6813,3278,8
2699,2674,8
2263,2221,8
733,727,8
5435,5467,8
4235,5416,8
1343,2097,8
2964,6591,8
1666,407,8
724,733,8
7727,7780,8
8212,10802,8
7898,7209,8
4820,2231,8
2789,407,8
10762,7209,8
6447,3590,8
7243,7505,8
9988,9954,8
429,4852,8
760,739,8
1464,4044,8
1692,2560,8
378,758,8
274,205,8
2972,2911,8
5459,11275,8
2182,2137,8
7662,5482,8
2294,4674,8
2197,2175,8
4249,2857,8
3971,3994,8
1677,211,8
11007,5016,8
10661,8363,8
1482,1484,8
7209,9066,8
6730,6769,8
10764,10716,8
4059,4052,8
241,7579,8
11074,10937,8
9069,3802,8
2969,4388,8
4514,8595,8
364,374,8
13731,5380,8
4820,6729,8
7209,392,8
7872,7868,8
5490,5423,8
5612,6584,8
8158,7505,8
8190,6813,8
3802,1917,8
2969,4395,8
7810,3356,8
752,755,8
1766,2905,8
10110,9822,8
1984,1971,8
4395,4053,8
975,930,8
11537,11514,8
13564,9540,8
205,275,8
7872,1208,8
486,6030,8
5795,5766,8
8584,9522,8
366,739,8
10785,10767,8
2789,4080,8
4990,4607,8
395,362,8
1850,311,8
2973,2482,8
7162,10819,8
8363,7860,8
3590,5482,8
3021,8562,8
10616,10576,8
5922,5946,8
2969,2759,8
2182,2131,8
2969,2867,8
10352,10334,8
4059,4017,8
6729,2231,8
92,9441,8
7209,1849,8
479,2201,8
364,772,8
4584,2532,8
6805,9098,8
4066,4364,8
8363,8961,8
759,763,8
2111,2182,8
5412,5435,8
1240,1263,8
6447,6100,8
3615,165,8
4990,2773,8
2294,6017,8
5522,5503,8
2717,6001,8
5734,5706,8
1314,1371,8
4032,4376,8
2488,2269,8
9330,9353,8
1320,4744,8
6813,5482,8
4083,4364,8
1377,979,8
771,772,8
8068,8093,8
7733,4184,8
4933,1498,8
10067,356,8
5911,2886,8
7747,8679,8
10576,10899,8
756,7508,8
2185,942,8
4011,1696,8
1342,4092,8
4283,4441,8
3609,3615,8
2941,4059,8
11211,2588,8
10022,4827,8
755,746,8
368,1095,8
9862,6591,8
2717,928,8
2939,2717,8
4009,4364,8
5116,7191,8
4632,4641,8
244,289,8
9828,1343,8
2993,2734,8
1371,4025,8
975,915,8
2336,4202,8
368,739,8
10394,10373,8
4850,10389,8
11225,4917,8
793,1038,8
10095,10022,8
6064,5491,8
1056,1053,8
8256,8269,8
4942,1884,8
9127,11280,8
2993,997,8
3544,4674,8
1677,6084,8
5953,5966,8
10785,10778,8
5740,5742,8
1994,6720,8
10798,10762,8
525,584,8
2759,1371,8
10439,10430,8
8307,7379,8
4016,4080,8
1715,7560,8
191,7209,8
4200,2277,8
7209,2231,8
191,382,8
4339,2941,8
7505,9069,8
9828,6783,8
733,763,8
5798,5788,8
2927,2922,8
10652,10631,8
4346,1444,8
4646,4609,8
4170,2201,8
10785,10719,8
5964,5993,8
5111,13296,8
4016,4012,8
8048,4552,8
1677,5423,8
10439,10548,8
4069,4346,8
8158,7039,8
2719,1005,8
4373,5443,8
10975,9063,8
2263,2222,8
5954,5966,8
6733,5634,8
2969,2717,8
1437,1020,8
5978,5946,8
10900,10806,8
8403,8411,8
1343,9752,8
6897,6855,8
6064,2294,8
1001,1056,8
2783,2789,8
7810,3153,8
1715,6729,8
8961,11290,8
4339,4066,8
3361,6777,8
6447,6052,8
2969,2941,8
7778,7741,8
3090,8562,8
772,739,8
9282,10899,8
10229,919,8
8735,5207,8
11767,7319,8
5370,5310,8
1677,441,8
5423,3093,8
8353,5093,8
9664,9684,8
772,368,8
2425,2500,8
4249,3503,8
1677,2926,8
4339,4011,8
7820,7868,8
2783,2717,8
92,1917,8
6064,6039,8
364,746,8
2975,1624,8
932,11808,8
752,724,8
4388,407,8
10909,13605,8
2489,2411,8
3432,3275,8
1330,2932,8
1429,2957,8
2278,2244,8
4990,1884,8
10702,10714,8
7727,4335,8
1432,2857,8
1246,3677,8
8684,8128,8
2926,3093,8
1542,1561,8
11450,13781,8
2588,2548,8
7505,10325,8
1337,4025,8
2236,2295,8
1246,592,8
5769,5724,8
2443,2412,8
7661,13249,8
4399,5456,8
12530,12567,8
10975,1464,8
9441,1464,8
10975,2185,8
2969,2511,8
4044,1696,8
5789,7872,8
716,733,8
5459,1164,8
4353,4373,8
11917,1464,8
1031,1029,8
6827,6896,8
3298,7007,8
2723,4142,8
2717,1337,8
4969,2773,8
13221,13564,8
7579,2117,8
5668,8461,8
2783,1482,8
731,721,8
10478,4483,8
191,1715,8
751,739,8
5564,8146,8
11046,10937,8
10702,10785,8
1314,915,8
10833,10899,8
759,752,8
10764,10785,8
4388,4053,8
6096,6077,8
3405,3172,8
5720,5724,8
759,760,8
6043,6089,8
10702,10716,8
4316,4025,8
7099,5212,8
4827,6208,8
5789,7866,8
1012,3102,8
4170,6113,8
8057,2548,8
1371,407,8
1677,3330,8
1056,1023,8
1865,4942,8
752,701,8
752,751,8
2780,5912,8
299,293,8
2857,5411,8
755,751,8
752,746,8
5789,8190,8
759,739,8
4774,2354,8
2600,2531,8
771,733,8
7662,6750,8
920,662,8
6070,6012,8
740,739,8
3021,8679,8
2780,2760,8
7898,4034,8
3002,3064,8
731,778,8
7506,9704,8
183,356,8
2959,2941,8
11280,5748,8
4827,628,8
13819,1947,8
4395,4025,8
1452,2035,8
2759,1337,8
4399,975,8
10714,10767,8
1982,5096,8
5456,5414,8
3414,3413,8
2993,950,8
650,610,8
822,4556,8
2939,1484,8
2911,2905,8
5491,6017,8
4451,392,8
3123,610,8
3309,3332,8
7866,1208,8
1056,1095,8
10394,6548,8
9904,9985,8
4016,4009,8
4395,4009,8
8995,8969,8
859,805,8
3286,3356,8
477,2734,8
9738,11508,8
3286,6805,8
5798,5769,8
4017,4052,8
10310,5093,8
7505,3153,8
5720,5761,8
613,10398,8
1677,10346,8
2941,1696,8
719,731,8
5359,5383,8
8010,942,8
3941,3980,8
2728,1498,8
1849,4034,8
2959,1484,8
4399,407,8
1315,1332,8
10016,10037,8
794,2911,8
1012,2645,8
4025,975,8
1677,7868,8
6294,5590,8
759,716,8
11730,11729,8
759,740,8
2260,2288,8
3120,2734,8
771,760,8
7860,2973,8
4399,5490,8
7706,7809,8
4917,4827,8
309,308,8
4016,4017,8
2926,5423,8
368,374,8
10764,4451,8
10716,10778,8
479,3021,8
8190,7662,8
752,740,8
7243,10325,8
950,5769,8
2910,2901,8
11649,11687,8
7098,2174,8
191,5522,8
4042,4012,8
771,701,8
4398,4359,8
5959,4209,8
10760,10798,8
1637,392,8
3028,3064,8
211,266,8
5771,5720,8
2941,915,8
3275,6053,8
859,894,8
7661,6293,8
1616,2760,8
8368,4827,8
602,290,8
10377,10325,8
2544,2596,8
4632,2544,8
1432,2776,8
8158,1677,8
7872,6813,8
4316,6017,8
10313,7220,8
5819,5668,8
3147,1146,8
4339,5426,8
3576,4969,8
4042,4052,8
8445,1343,8
364,1095,8
1503,1598,8
6707,10349,8
953,6084,8
5724,5706,8
3503,1208,8
2667,2674,8
4309,4353,8
1343,1678,8
10089,10022,8
2667,2699,8
9441,8595,8
4336,4364,8
334,362,8
2326,95,8
1865,4969,8
2759,928,8
4248,4217,8
8270,8350,8
6063,6039,8
2655,2674,8
5481,4373,8
6069,2773,8
10352,10373,8
1052,1158,8
6039,6017,8
833,888,8
3937,3963,8
3440,1095,8
8289,8353,8
5798,5761,8
9363,10046,8
72,6,8
4339,4044,8
2857,7605,8
248,293,8
746,739,8
4395,5456,8
8190,7618,8
4650,2701,8
795,749,8
6773,5590,8
6548,10016,8
3421,247,8
6069,6071,8
3554,141,8
716,739,8
659,605,8
1160,1146,8
364,1053,8
5482,1208,8
3590,5423,8
5423,1371,8
4399,2511,8
2185,4707,8
4990,4674,8
3635,2458,8
391,1046,8
7898,392,8
724,739,8
11610,10596,8
935,1250,8
771,763,8
10541,10899,8
1369,975,8
1138,10017,8
1246,9828,8
5332,5869,8
364,366,8
7810,3279,8
3405,3490,8
2279,2273,8
1007,334,8
5544,4441,8
2857,5668,8
2717,975,8
4646,4656,8
749,758,8
7162,9766,8
92,9098,8
4632,3367,8
5720,5734,8
4546,3867,8
14060,14018,8
4013,4012,8
759,751,8
7162,2504,8
11192,4391,8
795,758,8
11211,12323,8
3735,1646,8
5332,1733,8
8297,7318,8
2645,2620,8
392,4034,8
11296,6777,8
10702,10778,8
6067,6061,8
1314,930,8
3940,1598,8
4969,1884,8
1635,1646,8
4009,5414,8
9069,3356,8
7661,13296,8
5927,5934,8
11101,11143,8
8589,8598,8
13564,356,8
8363,2482,8
5546,4441,8
7662,3278,8
771,724,8
6707,3590,8
3509,2279,8
3963,1747,8
9026,9097,8
2867,4025,8
1484,4025,8
2655,2699,8
382,1822,8
1291,1265,8
8158,5668,8
1106,1173,8
1475,9522,8
5761,5769,8
684,610,8
4042,2959,8
4253,4226,8
10767,10778,8
2789,2941,8
701,733,8
10095,10089,8
5116,6111,8
928,915,8
1033,780,8
8068,6447,8
2939,2511,8
3399,3309,8
4249,2926,8
10196,6535,8
3021,8120,8
438,1619,8
5720,5954,8
6447,8037,8
1976,1971,8
2939,4388,8
3920,5467,8
9700,9699,8
5989,5787,8
2498,126,8
2939,5456,8
6064,6001,8
774,719,8
13163,10244,8
759,701,8
4774,2841,8
5720,5788,8
6323,6535,8
771,739,8
7194,2548,8
2137,2131,8
9363,9340,8
344,380,8
755,760,8
9540,356,8
2111,2131,8
4554,4945,8
3968,9688,8
4614,4682,8
7820,3590,8
2262,4226,8
8584,8596,8
3615,3637,8
2294,4316,8
8149,8010,8
9777,8006,8
6707,3418,8
9101,5201,8
1073,1002,8
167,10899,8
778,721,8
2323,2797,8
4011,4364,8
313,385,8
95,3330,8
75,6777,8
3193,281,8
2717,2959,8
2247,2262,8
805,894,8
3343,3332,8
6030,3924,8
6809,4969,8
5330,9699,8
12323,356,8
211,281,8
9862,9600,8
1482,1464,8
6519,363,8
5484,5468,8
2185,2169,8
1858,1607,8
167,2937,8
2212,3589,8
6591,8810,8
4042,4080,8
9586,2719,8
2759,2959,8
6507,5869,8
3698,3679,8
4013,4052,8
2284,2223,8
7872,7662,8
11276,1966,8
10356,10384,8
1677,3503,8
6166,4774,8
10716,10719,8
3093,2886,8
768,730,8
2544,8006,8
10714,10785,8
8579,1562,8
2201,8562,8
771,746,8
2717,1371,8
4816,4917,8
701,739,8
6004,6027,8
950,477,8
8995,8965,8
4249,10373,8
4541,9540,8
7721,12323,8
1403,1451,8
6453,6474,8
9369,9321,8
5009,4903,8
1677,8961,8
4449,9619,8
9410,5668,8
4212,4205,8
2939,4042,8
7747,3090,8
5800,5912,8
4170,8679,8
13221,356,8
3286,2482,8
9101,8556,8
5978,2645,8
5668,4552,8
385,308,8
7799,2960,8
5771,5706,8
12323,5101,8
759,772,8
9127,9118,8
791,709,8
5737,281,8
1337,407,8
9539,5081,8
479,9522,8
1608,1616,8
6447,6813,8
3421,1053,8
733,751,8
1548,3937,8
407,975,8
4170,479,8
719,721,8
4373,5491,8
1031,354,8
4309,4388,8
1635,7662,8
4339,4316,8
1608,1365,8
7039,7082,8
4170,8596,8
2522,2545,8
4016,5046,8
3442,3472,8
3078,3837,8
6113,8562,8
4152,4097,8
11917,9441,8
10767,10719,8
7747,6113,8
6064,5481,8
435,859,8
4399,4025,8
8519,258,8
755,716,8
1369,1371,8
928,930,8
3078,3090,8
1617,3991,8
4942,4674,8
2717,2789,8
5711,2790,8
1849,2336,8
4969,4607,8
1635,5482,8
684,650,8
4969,4316,8
4013,4042,8
5798,5724,8
6067,4957,8
2573,2531,8
2284,3502,8
7082,8209,8
755,739,8
2969,1484,8
2972,2988,8
10512,993,8
759,733,8
9063,5459,8
9395,9385,8
7605,3418,8
6743,9721,8
191,2231,8
11137,11176,8
8983,8979,8
6853,6854,8
360,392,8
6064,6063,8
940,993,8
3154,3172,8
2759,4674,8
6857,6067,8
7810,7505,8
9679,9610,8
5867,7379,8
6063,6017,8
7747,1475,8
1994,1963,8
5481,2294,8
3752,811,8
4665,4611,8
6507,5332,8
3590,3093,8
5788,5724,8
771,740,8
7820,3503,8
1677,7662,8
2024,2945,8
3920,3963,8
10714,10716,8
2993,959,8
13564,10067,8
11225,10022,8
11225,9493,8
95,1677,8
10714,10719,8
191,6729,8
6733,9101,8
5744,5788,8
8158,3590,8
7721,9540,8
7724,7509,8
1464,9063,8
8562,9522,8
1240,5021,8
5748,6208,8
10741,10780,8
4012,4059,8
2941,1666,8
7685,1646,8
8363,6084,8
10714,10764,8
2867,4053,8
4016,4052,8
774,778,8
1484,4053,8
12594,12516,8
328,324,8
1692,443,8
4584,3851,8
10719,10778,8
313,309,8
10334,2857,8
10764,10767,8
4170,9376,8
1043,309,8
4969,5491,8
6560,2354,8
10310,8353,8
7520,4275,8
5798,5734,8
8158,2926,8
2776,4468,8
1635,7605,8
11280,6208,8
759,1056,8
10509,9833,8
752,763,8
4092,816,8
3309,8539,8
5787,5766,8
8194,8424,8
905,910,8
4632,4656,8
6813,7866,8
860,798,8
441,625,8
4042,1484,8
5769,5706,8
10017,10037,8
6064,4969,8
1782,1631,8
7229,7240,8
4339,4080,8
1635,8190,8
2269,419,8
10083,10017,8
5789,5737,8
5997,5912,8
10756,10799,8
831,852,8
366,368,8
4942,4607,8
755,733,8
2759,2789,8
2511,1666,8
10616,10541,8
9421,4737,8
9954,9992,8
1635,441,8
9069,3153,8
10430,10407,8
4012,2941,8
7747,479,8
9653,12389,8
2939,2941,8
2906,625,8
5481,4969,8
4399,2969,8
382,1056,8
7747,4170,8
2926,3418,8
4614,4700,8
8190,1208,8
755,772,8
5789,5482,8
3576,2759,8
5789,3503,8
7810,9098,8
10714,10778,8
3735,7605,8
2294,5491,8
1646,625,8
5596,5590,8
11633,11450,8
1677,5789,8
8584,3090,8
5869,6523,8
6857,6892,8
755,701,8
2550,3173,8
4942,2773,8
10741,10720,8
10767,4070,8
6783,9752,8
4650,3029,8
1635,625,8
4319,4400,8
4053,975,8
1314,1337,8
905,2992,8
4388,4025,8
1673,6208,8
728,736,8
3180,275,8
2939,2906,8
4042,407,8
4249,6707,8
4076,1982,8
6707,6813,8
6857,1769,8
9369,9395,8
4969,6017,8
771,751,8
4285,1651,8
10439,10407,8
6824,6832,8
2939,2759,8
9441,2185,8
139,8025,8
3421,3188,8
8040,11939,8
7747,2201,8
10145,2441,8
5744,5761,8
2185,4514,8
8037,8093,8
4013,4080,8
2111,2137,8
771,716,8
369,333,8
7463,7477,8
5788,5769,8
9755,9704,8
4009,2941,8
1464,4011,8
9441,4514,8
1097,1254,8
5744,5734,8
2065,479,8
10616,10644,8
191,4820,8
5720,5769,8
759,771,8
768,772,8
9620,9619,8
2939,2886,8
2221,2222,8
901,975,8
9363,8078,8
4816,10022,8
7866,7868,8
4373,6854,8
5101,2588,8
8289,8209,8
2667,2655,8
7721,356,8
1371,4053,8
9700,4034,8
750,755,8
752,772,8
5564,7612,8
3432,7076,8
4399,2959,8
774,1043,8
8158,7243,8
1562,1678,8
5431,5404,8
11276,75,8
10481,10494,8
2941,4083,8
4395,2959,8
733,772,8
8679,9522,8
2354,2345,8
763,739,8
10764,10778,8
5792,5775,8
274,3180,8
733,760,8
5977,5954,8
5744,5724,8
5711,5755,8
8596,9522,8
759,724,8
752,716,8
8446,5201,8
4013,4017,8
3153,3356,8
9994,7661,8
746,368,8
10308,798,8
774,721,8
6904,2575,8
368,1053,8
5789,7605,8
6896,5966,8
5546,6805,8
9066,4034,8
4395,407,8
6013,5055,8
7898,1849,8
5696,7076,8
9369,9385,8
2867,1696,8
2926,7914,8
1865,4990,8
2544,9068,8
2573,2600,8
7721,13221,8
3967,1063,8
2134,2190,8
12323,13564,8
2544,1643,8
1464,2941,8
771,752,8
2511,2959,8
9997,4359,8
7253,7291,8
6854,4674,8
2065,3078,8
802,852,8
5423,7662,8
517,10757,8
5592,6752,8
4016,4042,8
13249,5111,8
2926,10313,8
10179,9906,8
761,764,8
10083,10037,8
8584,479,8
8579,7801,8
4487,4432,8
276,2204,8
7822,7713,8
2867,2959,8
10989,4854,8
10780,10720,8
1045,1095,8
10446,12298,8
11136,11180,7
8373,8326,7
4373,5500,7
6063,6071,7
2567,3924,7
4377,4376,7
5869,6338,7
10368,8961,7
2759,2773,7
3002,484,7
5533,2201,7
10397,10313,7
4042,975,7
4053,4052,7
12841,8674,7
1817,2734,7
172,2500,7
1769,7373,7
5435,5479,7
8871,8810,7
4774,2345,7
360,362,7
